index,緯度,經度,圖示,顏色,名稱,得獎菜色,地　　址,電　　話,縣市,鄉鎮區,評價,碗　　數,網址
1,25.05628899,121.53027,<i class='fas fa-utensils'></i>,#198754,阿城鵝肉 （中山）,後半段鵝腿肉,104臺北市中山區吉林路105號,0930 105 668,臺北市,中山區,6806,4.4,https://inline.app/order/-MifI7VdrRMtQOLQDX-l:inline-live-2/-MifI7evstsIMDdgUsZU
2,25.03920701,121.498633,<i class='fas fa-utensils'></i>,#198754,昶鴻麵點,招牌湯麵、菊花肉麵,108臺北市萬華區華西街171號號攤,0982 187 604,臺北市,萬華區,628,4.1,nan
3,25.05506846,121.5260968,<i class='fas fa-utensils'></i>,#198754,雞家莊 （長春路）,三杯雞、豬血糕,104臺北市中山區長春路55號,02 2581 5954,臺北市,中山區,3532,4.2,https://www.facebook.com/%E9%9B%9E%E5%AE%B6%E8%8E%8A-279425032095/
4,25.09000886,121.528617,<i class='fas fa-utensils'></i>,#198754,鍾家原上海生煎包,生煎包,111臺北市士林區小東街38號,02 8861 2713,臺北市,士林區,1386,4.3,nan
5,25.06561667,121.5113601,<i class='fas fa-utensils'></i>,#198754,大橋頭老牌筒仔米糕,筒仔米糕、鮮蚵湯,103臺北市大同區延平北路三段41號,02 2594 4685,臺北市,大同區,4696,4.3,https://www.facebook.com/dqtfood
6,25.03375625,121.5302467,<i class='fas fa-utensils'></i>,#198754,鼎泰豐 （信義路）,小籠包、糖醋排骨、苦瓜排骨湯,106臺北市大安區信義路二段194號,02 2321 8928,臺北市,大安區,12394,4.4,https://www.dintaifung.com.tw/
7,25.03807838,121.5610468,<i class='fas fa-utensils'></i>,#198754,都一處 （信義）,糟溜魚片、炸丸子、餅食,110臺北市信義區仁愛路四段506號,02 2720 6417,臺北市,信義區,2847,4,https://www.facebook.com/doittrue.com.tw/
8,25.08901287,121.5255796,<i class='fas fa-utensils'></i>,#198754,好朋友涼麵,麻醬涼麵、味噌湯加蛋,111臺北市士林區大南路31號,02 2881 1197,臺北市,士林區,1283,4.1,nan
9,25.04212267,121.5551398,<i class='fas fa-utensils'></i>,#198754,清真中國牛肉麵食館 （大安）,清燉牛肉麵、東北斤餅,106臺北市大安區延吉街137巷7弄1號,02 2721 4771,臺北市,大安區,3009,4.2,https://www.facebook.com/halal.chinese.beef.noodle/
10,25.03413262,121.5239258,<i class='fas fa-utensils'></i>,#198754,杭州小籠湯包 （大安）,招牌小籠湯包、豆沙鍋餅,106臺北市大安區杭州南路二段19號,02 2393 1757,臺北市,大安區,8066,3.8,https://www.thebestxiaolongbao.com/
11,25.06597,121.530446,<i class='fas fa-utensils'></i>,#198754,小酌之家,鮑魚燉烏骨雞湯、烤豬腳,104臺北市中山區吉林路420號,02 2598 8067,臺北市,中山區,441,4.5,https://inline.app/order/-MeUQSMvA-fvHj6y4vfg:inline-live-2/-MeUQSXG2y_JtLnzZ97x?language=zh-tw
12,25.013489,121.535433,<i class='fas fa-utensils'></i>,#198754,雄記蔥抓餅,蔥抓餅,100臺北市中正區羅斯福路四段108巷2號,0932 948 003,臺北市,中正區,733,4.3,https://www.facebook.com/people/%E9%9B%84%E8%A8%98%E8%94%A5%E6%8A%93%E9%A4%85/100057414880865/
13,25.063703,121.524245,<i class='fas fa-utensils'></i>,#198754,黃記魯肉飯,招牌滷肉飯、滷白菜,104臺北市中山區中山北路二段183巷28號,02 2595 8396,臺北市,中山區,4968,4.2,nan
14,25.06762,121.5122,<i class='fas fa-utensils'></i>,#198754,HUGH dessert dining,盤式甜點,103臺北市大同區重慶北路三段136巷56號,02 2598 0223,臺北市,大同區,116,4.6,https://hughdessert.com/dining
