,緯度,經度,圖示,顏色,名稱,碗　　數,得獎菜色,菜　　系,評　　審,地　　址,電　　話,geometry,index_right,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,縣市,鄉鎮區
0,25.058373,121.560634,<i class='fas fa-utensils'></i>,#198754,財神台南擔仔麵,&#127836;&#127836;&#127836; (3碗),滷肉飯、擔仔麵＋小菜、清湯米粉、天梯,台式,迪拉、Lulu黃路梓茵、馬世芳,105台北市松山區新中街6巷1號,02 2761 1887,POINT (121.560634 25.058373),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
1,25.054527,121.514527,<i class='fas fa-utensils'></i>,#198754,三元號魯肉飯,&#127836;&#127836; (2碗),魚翅肉羹、豬肝湯,台式,洪子仁、江振誠,103台北市大同區重慶北路二段11號,02 2558 9685,POINT (121.514527 25.054527),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
2,25.056914,121.515571,<i class='fas fa-utensils'></i>,#198754,豬肝榮仔,&#127836;&#127836; (2碗),豬肝湯,台式,Nobu Lee、王耀邦,103台北市大同區寧夏路010攤位,,POINT (121.515571 25.056914),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
3,25.089714,121.52297,<i class='fas fa-utensils'></i>,#198754,南港老張燒餅店／胡椒餅（創始店／士林夜市店）,&#127836;&#127836; (2碗),小酥餅、糖膏酥餅、胡椒餅,台式,徐天麟、陳志煌,115台北市南港區忠孝東路七段602號,02 2783 5591,POINT (121.52297 25.089714),339,A15,63000110,臺北市,士林區,Shilin District,A,63000,臺北市,士林區
4,25.021928,121.528345,<i class='fas fa-utensils'></i>,#198754,龍泉市場 無名麵攤,&#127836;&#127836; (2碗),雞內臟、白斬雞,台式,陳耀訓、陳志煌,106台北市大安區師大路92巷15號,,POINT (121.528345 25.021928),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
5,25.061091,121.509807,<i class='fas fa-utensils'></i>,#198754,賣麵炎仔,&#127836;&#127836; (2碗),清飯＋豬腦髓湯、切仔麵,台式,葉裕清、王耀邦,103台北市大同區安西街106號,02 2557 7087,POINT (121.509807 25.061091),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
6,25.039842,121.50406,<i class='fas fa-utensils'></i>,#198754,180度C蜜酥雞排,&#127836; (1碗),雞排,台式,唐綺陽,108台北市萬華區貴陽街二段77號,0933 687 611,POINT (121.50406 25.039842),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
7,25.040502,121.549955,<i class='fas fa-utensils'></i>,#198754,1976道地香港美食,&#127836; (1碗),豬肝撈麵,港式,陳陸寬,106台北市大安區敦化南路一段233巷11號,02 2777 1976,POINT (121.549955 25.040502),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
8,25.040402,121.502171,<i class='fas fa-utensils'></i>,#198754,一甲子餐飲,&#127836; (1碗),刈包,台式,陳亞蘭,108台北市萬華區康定路79號,02 2311 5241,POINT (121.502171 25.040402),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
9,25.039333,121.499948,<i class='fas fa-utensils'></i>,#198754,一肥仔麵店,&#127836; (1碗),原汁蘿蔔排骨湯,台式,Hally Chen,108台北市萬華區西園路一段69號1樓,02 2388 0579,POINT (121.499948 25.039333),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
10,25.050972,121.523877,<i class='fas fa-utensils'></i>,#198754,七條通蕭家魚湯,&#127836; (1碗),乾麵＋鮮魚湯,台式,葉裕清,10491台北市中山區中山北路一段121巷24之1號,02 2581 5058,POINT (121.523877 25.050972),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
11,25.033754,121.493995,<i class='fas fa-utensils'></i>,#198754,三姐鵝肉,&#127836; (1碗),去骨鵝腿,台式,愛吃鬼芸芸,108台北市萬華區大理街170巷1弄7號,02 2306 8686,POINT (121.493995 25.033754),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
12,25.054779,121.55388,<i class='fas fa-utensils'></i>,#198754,上海小籠包（龍城市場）,&#127836; (1碗),上海小籠包,中式,林裕森,105台北市松山區光復北路190巷39號,0955 256 788,POINT (121.55388 25.054779),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
13,25.112068,121.529293,<i class='fas fa-utensils'></i>,#198754,士東市場137號米粉湯,&#127836; (1碗),米粉湯,台式,江振誠,111台北市士林區士東路100號,02 2834 1327,POINT (121.529293 25.112068),339,A15,63000110,臺北市,士林區,Shilin District,A,63000,臺北市,士林區
14,25.025159,121.510222,<i class='fas fa-utensils'></i>,#198754,大三元豆漿店,&#127836; (1碗),韭菜盒,台式,徐天麟,100台北市中正區寧波西街233號,02 2303 3089,POINT (121.510222 25.025159),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
15,25.050676,121.513146,<i class='fas fa-utensils'></i>,#198754,大稻埕米粉湯,&#127836; (1碗),米粉湯＋黑白切,台式,葉裕清,103台北市大同區重慶北路一段26巷15號,,POINT (121.513146 25.050676),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
16,25.065431,121.510955,<i class='fas fa-utensils'></i>,#198754,大橋頭魯肉飯,&#127836; (1碗),幼肉滷飯＋滷蛋＋白菜滷,台式,婁峻碩,103台北市大同區延平北路三段64號之1,02 2592 6004,POINT (121.510955 25.065431),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
17,25.039219,121.498604,<i class='fas fa-utensils'></i>,#198754,小王煮瓜,&#127836; (1碗),滷肉飯,台式,陳亞蘭,108台北市萬華區華西街17之4號攤位153號,02 2370 7118,POINT (121.498604 25.039219),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
18,25.109125,121.532632,<i class='fas fa-utensils'></i>,#198754,小貨車蔥油餅,&#127836; (1碗),蔥油餅,台式,葉裕清,111台北市士林區德行東路 忠義街口,0939 937 722,POINT (121.532632 25.109125),339,A15,63000110,臺北市,士林區,Shilin District,A,63000,臺北市,士林區
19,25.0641,121.522982,<i class='fas fa-utensils'></i>,#198754,双妹嘜養生甜品,&#127836; (1碗),紫米燉奶,港式,迪拉,104台北市中山區農安街2巷20之33號,02 2599 6282,POINT (121.522982 25.0641),338,A10,63000040,臺北市,中山區,Zhongshan District,A,63000,臺北市,中山區
20,25.03888,121.545317,<i class='fas fa-utensils'></i>,#198754,天下三絕,&#127836; (1碗),精品琥珀麵,台式,唐綺陽,106台北市大安區仁愛路四段27巷3號,02 2741 6299,POINT (121.545317 25.03888),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
21,25.041912,121.555488,<i class='fas fa-utensils'></i>,#198754,巴克斯烤韭菜盒子手工蛋餅,&#127836; (1碗),烤高麗菜盒子,素食,唐綺陽,106台北市大安區延吉街137巷30號,02 2711 9925,POINT (121.555488 25.041912),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
